index,mode,any_gold_hit,all_gold_hit,wrong_answer_hit,strict_correct,abstained,confidence,conflict_expected,conflict_detected,retrieval_engine,nli_engine
0,basic_rag,False,False,False,False,False,0.5162,False,False,bm25,disabled-by-baseline
1,basic_rag,True,True,False,True,False,0.567,False,False,bm25,disabled-by-baseline
2,basic_rag,True,True,False,True,False,0.746,True,False,bm25,disabled-by-baseline
3,basic_rag,True,True,True,False,False,0.9362,False,False,bm25,disabled-by-baseline
4,basic_rag,False,False,False,False,False,1.0,True,False,bm25,disabled-by-baseline
5,basic_rag,True,True,False,True,False,0.7543,False,False,bm25,disabled-by-baseline
6,basic_rag,True,True,False,True,False,0.8495,True,False,bm25,disabled-by-baseline
7,basic_rag,False,False,True,False,False,0.5275,False,False,bm25,disabled-by-baseline
8,basic_rag,False,False,True,False,False,1.0,True,False,bm25,disabled-by-baseline
9,basic_rag,False,False,False,False,True,0.0,True,False,bm25,disabled-by-baseline
10,basic_rag,False,False,False,False,False,0.5228,False,False,bm25,disabled-by-baseline
11,basic_rag,True,True,False,True,False,0.5019,False,False,bm25,disabled-by-baseline
12,basic_rag,True,True,False,True,False,0.6762,True,False,bm25,disabled-by-baseline
13,basic_rag,True,True,True,False,False,0.9715,True,False,bm25,disabled-by-baseline
14,basic_rag,True,True,False,True,False,0.943,True,False,bm25,disabled-by-baseline
15,basic_rag,True,True,True,False,False,0.9189,True,False,bm25,disabled-by-baseline
16,basic_rag,False,False,False,False,False,1.0,False,False,bm25,disabled-by-baseline
17,basic_rag,False,False,False,False,False,1.0,False,False,bm25,disabled-by-baseline
18,basic_rag,False,False,True,False,False,0.9862,False,False,bm25,disabled-by-baseline
19,basic_rag,True,True,False,True,False,0.7612,False,False,bm25,disabled-by-baseline
20,basic_rag,True,True,True,False,False,0.6306,True,False,bm25,disabled-by-baseline
21,basic_rag,False,False,False,False,False,0.6035,True,False,bm25,disabled-by-baseline
22,basic_rag,False,False,True,False,False,0.5294,True,False,bm25,disabled-by-baseline
23,basic_rag,False,False,True,False,False,0.8131,False,False,bm25,disabled-by-baseline
24,basic_rag,False,False,True,False,False,0.7024,True,False,bm25,disabled-by-baseline
25,basic_rag,False,False,True,False,False,0.7169,False,False,bm25,disabled-by-baseline
26,basic_rag,True,True,False,True,False,0.6611,True,False,bm25,disabled-by-baseline
27,basic_rag,True,True,False,True,False,1.0,True,False,bm25,disabled-by-baseline
28,basic_rag,False,False,True,False,False,0.5526,False,False,bm25,disabled-by-baseline
29,basic_rag,False,False,False,False,False,1.0,False,False,bm25,disabled-by-baseline
30,basic_rag,True,True,False,True,False,0.9385,True,False,bm25,disabled-by-baseline
31,basic_rag,True,True,False,True,False,0.9665,False,False,bm25,disabled-by-baseline
32,basic_rag,True,True,True,False,False,0.9918,True,False,bm25,disabled-by-baseline
33,basic_rag,True,True,False,True,False,0.5491,True,False,bm25,disabled-by-baseline
